"item_id","stage","substage","count","source_basis","boundary_note"
"S5-01","Phase 1","Pre-expansion research corpus",104,"Manuscript Figure 2 / S260514k figure closure","Database-hit and initial screening counts were not recorded locally and are not inferred"
"S5-02","Phase 2 candidate collection","C3 candidate set after duplicate handling and classification",30,"C3 candidate-collection cross-analysis","Candidate-set count only"
"S5-03","Phase 2 candidate collection","C4 candidate set after duplicate handling and classification",21,"C4 candidate-collection cross-analysis","Candidate-set count only"
"S5-04","Phase 2 candidate collection","C6 candidate set after duplicate handling and classification",30,"C6 candidate-collection cross-analysis","Candidate-set count only"
"S5-05","Phase 2 candidate collection","Total C3+C4+C6 candidate set",81,"Manuscript Figure 2 / S260514k figure closure","Matches C3 30 + C4 21 + C6 30"
"S5-06","PDF collection and verification","Newly collected PDFs from unanimous/Task-1 set",29,"C3/C4/C6 PDF verification logs and 29-paper checklist","PDF-collection count, not a search-hit count"
"S5-07","PDF collection and verification","Majority-vote PDFs collected later",17,"Majority-vote 17-paper PDF collection/verification log","PDF-collection count, not a search-hit count"
"S5-08","Verified additions","C3 verified additions",10,"Manuscript Figure 2 / S260514k figure closure","Final added-to-registry count for C3"
"S5-09","Verified additions","C4 verified additions",21,"Manuscript Figure 2 / S260514k figure closure","Final added-to-registry count for C4"
"S5-10","Verified additions","C6 verified additions",14,"Manuscript Figure 2 / S260514k figure closure","Final added-to-registry count for C6"
"S5-11","Verified additions","Total verified additions",45,"Manuscript Figure 2 / S260514k figure closure","Matches C3 10 + C4 21 + C6 14"
"S5-12","Final registry","Final paper registry",149,"Manuscript Figure 2 / S260514k figure closure","Research-corpus registry total"
"S5-13","Final classification","Core coding set",87,"S260514o S2 raw extraction and manuscript Figure 2","C1--C6 active core rows"
"S5-14","Final classification","Background set",36,"Manuscript Figure 2 / WORK_STATUS registry state","Background papers"
"S5-15","Final classification","Out-of-scope set",26,"S260514n S4 OOS conversion and manuscript Figure 2","OOS exclusions"
