"registry_id","filename","title","author_summary","venue_or_status","identifier","pages","review_level","source_note"
"150","Yin2024_MLLM_Survey_NSR.pdf","A survey on multimodal large language models","Shukang Yin et al. (7 authors)","National Science Review 11: nwae403, 2024","DOI: 10.1093/nsr/nwae403","20p","precision","PAPER_REGISTRY #150"
"151","Du2022_VL-PTM_Survey_IJCAI.pdf","A Survey of Vision-Language Pre-Trained Models","Yifan Du et al. (4 authors)","IJCAI 2022 Survey Track","pp.5436 onward","8p","precision","PAPER_REGISTRY #151"
"152","Caffagni2024_MLLM_Revolution_Survey_ACLFindings.pdf","The Revolution of Multimodal Large Language Models: A Survey","Davide Caffagni et al. (9 authors)","Findings of ACL 2024 (2024.findings-acl.807)","DOI: 10.18653/v1/2024.findings-acl.807","15p (pp.13590-13618)","precision","PAPER_REGISTRY #152"
"153","Wang2024_LLM_Autonomous_Agents_Survey_FCS.pdf","A survey on large language model based autonomous agents","Lei Wang et al. (13 authors)","Frontiers of Computer Science 2025, 0(0): 1-42","DOI: 10.1007/s11704-024-40231-1; arXiv: 2308.11432v7","pp.1-42","precision","PAPER_REGISTRY #153"
"154","Nguyen2025_GUI_Agents_Survey_ACLFindings.pdf","GUI Agents: A Survey","Dang Nguyen et al. (30 authors)","Findings of ACL 2025 (2025.findings-acl.1158)","DOI: 10.18653/v1/2025.findings-acl.1158","17p (pp.22522-22538)","precision","PAPER_REGISTRY #154"
"155","Zhang2025_LLM_Brained_GUI_Agents_Survey_TMLR.pdf","Large Language Model-Brained GUI Agents: A Survey","Chaoyun Zhang et al. (13 authors)","TMLR 06/2025","arXiv: 2411.18279; OpenReview: aChvYjvXTp","92+p (87p main text + appendix)","precision","PAPER_REGISTRY #155"
"156","Ning2025_WebAgents_Survey_KDD.pdf","A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models","Liangbo Ning, Ziran Liang, et al. (11 authors)","KDD 2025 (31st ACM SIGKDD), Toronto, Aug 3-7","DOI: 10.1145/3711896.3736555","11p (pp.6140-6150)","precision","PAPER_REGISTRY #156"
"157","He2026_LLM_Agent_Security_Privacy_Survey_CSUR.pdf","The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies","Feng He et al. (6 authors)","ACM Computing Surveys 58(6): Article 162, December 2025","DOI: 10.1145/3773080","pp.1-36 (36p)","precision","PAPER_REGISTRY #157"
"158","Barari2024_Computational_Content_Analysis_Advertising_JAdv.pdf","Computational Content Analysis in Advertising Research","Mojtaba Barari, Martin Eisend (2 authors)","Journal of Advertising 53(5): 681-699, 2024","DOI: 10.1080/00913367.2024.2407642","19p (pp.681-699)","precision","PAPER_REGISTRY #158"
"159","Sadeghpour2021_Ads_Fraud_Survey_JCybersecPriv.pdf","Ads and Fraud: A Comprehensive Survey of Fraud in Online Advertising","Shadi Sadeghpour, Natalija Vlajic (2 authors)","Journal of Cybersecurity and Privacy 1(4): 804-832, 2021","DOI: 10.3390/jcp1040039","29p (pp.804-832)","precision","PAPER_REGISTRY #159"
