"scope","record_or_source_id","title_or_source","verifier","human_verification_date","verification_mode","original_labels_visible","fields_checked","human_outcome","fields_revised_if_any","claim_impact_note","main_text_or_supplement_change"
"C1-C6 targeted verification","#93","AdInject","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; secondary_cluster; threat_model; attack_surface; defense_tested; generic_vs_ad_specific; G7 link","confirmed","none","Ad-delivery attack evidence supports CTM-03 attack side but does not identify a purpose-built general agent-side ad-filtering defense.","none"
"C1-C6 targeted verification","#94","PopupAttack","Seowan Kim","2026-05-17","label-visible targeted verification","yes","primary_cluster; secondary_cluster; threat_model; attack_surface; defense_tested; generic_vs_ad_specific; G7 link","confirmed","none","Pop-up/ad-like attack evidence supports CTM-03 attack side. Baseline defenses are limited and do not amount to a general ad-filtering defense.","none"
"C1-C6 targeted verification","#126","AgentDojo","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; threat_model; defense_tested; defense_type; generic_vs_ad_specific; G7 link","confirmed","none","Generic prompt-injection/tool-filter defense evidence is a near-counterexample but not ad-specific general ad filtering.","none"
"C1-C6 targeted verification","#132","WAInjectBench","Seowan Kim","2026-05-17","label-visible targeted verification","yes","primary_cluster; threat_model; detector_vs_defense; defense_tested; generic_vs_ad_specific; G7 link","confirmed","none","Detector benchmark evidence is not a purpose-built general agent-side ad-filtering defense.","none"
"C1-C6 targeted verification","#130","WASP","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; threat_model; benchmark_status; defense_tested; end_to_end_harm; G7 link","confirmed","none","Web-agent security benchmark and security-through-incompetence pattern do not resolve G7 as a purpose-built ad-filtering defense.","none"
"C1-C6 targeted verification","#62","Are AI Agents interacting with Online Ads?","Seowan Kim","2026-05-17","label-visible targeted verification","yes","primary_cluster; secondary_cluster; agent_tested; ad_exposure; causal_design; action_consequence; RQ/G links","confirmed","none","Agent-ad interaction exists, so the safe claim is not no agent-ad experiment; it is no causal display-ad exposure benchmark covering the full chain.","none"
"C1-C6 targeted verification","#95","Machine-Readable Ads","Sungmoon Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; secondary_cluster; output_form; agent_tested; ad_exposure; causal_design; AARS_equivalence; action_consequence","confirmed","none","Strong near-counterexample: machine-readable/accessibility-oriented ad work exists, but not full AARS-style creative/claim/action representation and not full-chain causal display-ad benchmark.","none"
"C1-C6 targeted verification","#29","ACES","Hyojin Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; agent_tested; sponsored_signal; ad_exposure; causal_design; action_consequence; RQ/G links","confirmed","none","Strong near-counterexample: ACES provides controlled sponsored-commerce/agent-choice evidence, but not legacy display-ad exposure benchmark with the full ad perception to consequence chain.","none"
"C1-C6 targeted verification","#116","Ads that Talk Back","Hyojin Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; recipient_modeled; agent_tested; output_form; ad_insertion_type; downstream_agent_action; RQ/G links","confirmed","none","Human-recipient LLM chatbot ad insertion evidence does not evaluate autonomous commerce-agent detection, filtering, or action.","none"
"C1-C6 targeted verification","#118","GEM-Bench","Seowan Kim","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; benchmark_status; recipient_modeled; agent_tested; downstream_agent_action; RQ/G links","confirmed","none","Ad-injected response generation benchmark is not agent purchase/action-consequence benchmark and not AARS representation.","none"
"C1-C6 targeted verification","#122","Detecting RAG Ads","Hyojin Park","2026-05-17","label-visible targeted verification","yes","primary_cluster; output_form; detection_status; agent_tested; defense_tested; RQ/G links","confirmed","none","Ad-style detection/taxonomy evidence is not agent-side ad filtering and not full AARS-style representation.","none"
