"registry_id","author_year","title","primary_section","secondary_sections","role_rationale","decision_status"
"78","Kim 2025","Advertising in the Age of Agentic AI: Call for Research","Sec. 1 Introduction","Sec. 7 C4; Sec. 10.4","Direct call-for-research source on how advertising changes in the agentic-AI era; supports the introduction's motivation.","confirmed"
"79","Cui 2025","The end of search as we know it: ... the delegate economy","Sec. 1 Introduction","Sec. 7 C4","Introduces the delegate-economy framing in which users delegate search and purchase to agents; supports the introductory paradigm shift.","confirmed"
"82","Kshetri 2026","Agentic AI and the Future of Retail E-Commerce","Sec. 1 Introduction","Sec. 7 C4; Sec. 10.2","Provides industry/background context on agentic AI in retail e-commerce; supports the introduction and governance context.","confirmed"
"80","Busch 2025","Consumer Law for AI Agents","Sec. 10.2 Governance","Sec. 1 Introduction","Provides a consumer-law framework for AI agents; used as legal/governance background.","confirmed"
"83","Chaudhary 2024","Beware the Intention Economy: Collection and Commodification of Intent via LLMs","Sec. 10.4 Incentives","Sec. 7 C4","Supports incentive-conflict and privacy discussion through intent collection and commodification by LLMs.","confirmed"
"84","Shahidi 2025","The Coasean Singularity? ... AI Agents Market Design","Sec. 10.4 Incentives","Sec. 7 C4; Sec. 11","Provides an economics and market-design perspective on AI agents and transaction costs.","confirmed"
"50","Wang 2024","Qwen2-VL: Enhancing VLM Perception at Any Resolution","Sec. 6.1 C1 Ad Understanding","Sec. 4 Methodology","Used as background on VLM model development rather than as an experiment model for this survey.","tentative_primary_moved_from_sec4_in_source_review_note"
"51","Bai 2025","Qwen2.5-VL Technical Report","Sec. 6.1 C1 Ad Understanding","Sec. 4 Methodology","Used as background on the same VLM model line rather than as an experiment model for this survey.","tentative_primary_moved_from_sec4_in_source_review_note"
"10","Slyman 2025","Calibrating MLLM-as-a-judge via Multimodal Bayesian Prompt Ensembles","Sec. 10.1 Evaluation","none","Supports discussion of calibration when VLMs are used as evaluators.","confirmed"
"11","Krupic 2025","Evaluating agreement between human preferences, GPT-4V and Gemini Pro Vision","Sec. 10.1 Evaluation","none","Supports evaluation-validity discussion through human-VLM agreement evidence.","confirmed"
"20","Chen 2024","MLLM-as-a-Judge: Assessing Multimodal LLM-as-a-Judge","Sec. 10.1 Evaluation","none","Background for multimodal LLM-as-judge evaluation and its limits.","confirmed"
"21","Xiong 2024","LLaVA-Critic: Learning to Evaluate Multimodal Models","Sec. 10.1 Evaluation","none","Supports discussion of learned VLM evaluation pipelines.","confirmed"
"22","Ge 2025","MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria","Sec. 10.1 Evaluation","none","Supports fine-grained evaluation using per-sample criteria.","confirmed"
"47","Lee 2024","Prometheus-Vision: Vision-Language Model Fine-Grained Evaluation","Sec. 10.1 Evaluation","none","Supports discussion of fine-grained VLM evaluation.","confirmed"
"26","Lu 2024","Can Vision-Language Models Replace Human Annotators: CelebA Case","Sec. 10.1 Evaluation","Sec. 4 Methodology","Supports discussion of annotation cost and scalability in visual-content annotation.","confirmed"
"8","Parthasarathy 2026","What Makes a Good Generated Image?","Sec. 6.2 C2 Creative Generation","Sec. 10.1 Evaluation","Supports generated-image quality evaluation in the C2 creative-generation/evaluation context.","confirmed"
"16","Huang 2024","AesExpert: Multi-modality Foundation Model for Aesthetics","Sec. 6.2 C2 Creative Generation","Sec. 10.1 Evaluation","Supports discussion of aesthetic foundation models for ad creative quality evaluation.","confirmed"
"17","An 2026","Can VLMs Assess Graphic Design Aesthetics?","Sec. 6.2 C2 Creative Generation","none","Directly supports visual-quality assessment for graphic design and ad banners.","confirmed"
"18","Zhang 2025","A-Bench: Are LMMs Masters at Evaluating AI-Generated Images?","Sec. 6.2 C2 Creative Generation","Sec. 10.1 Evaluation","Supports evaluation of AI-generated images in the generated-ad-creative context.","confirmed"
"19","Wu 2024","Q-ALIGN: Teaching LMMs for Visual Scoring via Discrete Levels","Sec. 6.2 C2 Creative Generation","Sec. 10.1 Evaluation","Supports quantitative visual-quality scoring for advertising creatives.","confirmed"
"76","Jiang 2025","Multimodal LLMs Can Reason about Aesthetics in Zero-Shot","Sec. 6.2 C2 Creative Generation","none","Supports zero-shot aesthetic reasoning as background for ad-aesthetic evaluation.","confirmed"
"12","Lu 2026","Evaluating Large VLMs for Visual Framing Analysis in News Imagery","Sec. 6.1 C1 Ad Understanding","Sec. 10.1 Evaluation","News-image framing analysis is analogous to interpreting visual persuasion strategies in ads.","confirmed"
