"item_id","metric","value","source_basis","boundary_note"
"S1-R01","Total unique papers in PAPER_REGISTRY",168,"PAPER_REGISTRY header","Includes #1--#149 plus #150--#168 AGD-031 related surveys"
"S1-R02","AGD-031 related-survey registry range",19,"PAPER_REGISTRY rows #150--#168","All 19 rows are review-level precision in the source registry"
"S1-R03","Standard documents tracked separately",1,"PAPER_REGISTRY header","Not counted as a research paper"
"S1-R04","Registry path", "02_references/academic_papers/","PAPER_REGISTRY header","Path recorded as project source location"
"S1-R05","AGD-031 unique surveys identified before final related-survey selection",57,"AGD-031 five-session cross-analysis","Unique surveys after duplicate handling across five sessions"
"S1-R06","AGD-031 total candidate slots across five sessions",125,"AGD-031 five-session cross-analysis","Session candidate counts: 25, 25, 24, 26, 25"
"S1-R07","AGD-031 5/5 consensus surveys",7,"AGD-031 five-session cross-analysis","Unanimous category"
"S1-R08","AGD-031 corrected majority surveys",12,"AGD-031 correction note","M-01--M-12 are 3/5 or higher after correction"
"S1-R09","AGD-031 corrected 2/5 partial surveys initially listed in majority table",4,"AGD-031 correction note","M-13--M-16 are 2/5 and below the 3/5 majority threshold"
"S1-R10","AGD-031 precision-read related surveys",19,"AGD-031 methodology reading log","19/19 related surveys read in detail"
