"source_marker","registry_id","short_title","venue","corpus_role"
"[ ]","9","CHIRP — Fine-Grained Benchmark for VLMs","arXiv 2025","OOS"
"[ ]","14","AesBench — MLLMs on Image Aesthetics","arXiv 2024","OOS"
"[ ]","15","AesBiasBench — Bias in Personalized Aesthetic Assessment","EMNLP 2025","OOS"
"[ ]","23","SPHINX-X — Family of Multi-modal LLMs","ICML 2024","OOS"
"[ ]","25","PLLaVA — Images to Videos","arXiv 2024","OOS"
"[ ]","27","MIP-GAF — MLLM-Annotated MIP Localization","WACV 2025","OOS"
"[ ]","30","PersonalLLM — Tailoring LLMs to Individual Preferences","arXiv 2024","OOS"
"[ ]","37","AesthetiQ — Aesthetic-Aware Preference Alignment","CVPR 2025","OOS"
"[ ]","38","ROC4MLLM — Regression Over Classification for Aesthetics","AAAI 2026","OOS"
"[ ]","40","UNIAA — Unified Multi-modal Aesthetic Assessment","arXiv 2024","OOS"
"[ ]","41","Q-Bench — Foundation Models on Low-level Vision","ICLR 2024","OOS"
"[ ]","42","Q-Bench++ — Multi-Modal Low-Level Vision","IEEE TPAMI 2024","OOS"
"[ ]","43","Comprehensive MLLM for IQA","ECCV 2024","OOS"
"[ ]","44","DepictQA — Depicting Beyond Scores","arXiv 2024","OOS"
"[ ]","45","Measuring Engagement of T2I Generation","ICLR 2025","OOS"
"[ ]","48","Rich Human Feedback for T2I","CVPR 2024","OOS"
"[ ]","49","Cambrian-1 — Vision-Centric Exploration of MLLMs","NeurIPS 2024","OOS"
"[ ]","52","ImageReward — Human Preferences for T2I","NeurIPS 2023","OOS"
"[ ]","53","Pick-a-Pic — Open Dataset of User Preferences","NeurIPS 2023","OOS"
"[ ]","54","HPS — Human Preference Score for T2I","ICCV 2023","OOS"
"[ ]","71","Character is Destiny — Persona-assigned LMs","EMNLP 2025 Findings","OOS"
"[ ]","73","Unified Multi-Modal Personalization","ICLR 2024","OOS"
"[ ]","75","VLM Emotion Recognition","NAACL 2025 Findings","OOS"
"[ ]","86","PersonalLLM Travel — Tailored Travel Planners","EMNLP 2024 Industry","OOS"
"[ ]","87","LAUS — LLM as User Simulator for News Rec","SIGIR 2025","OOS"
"[ ]","89","EEmo-Bench — Image Evoked Emotion Assessment","ACM MM 2025","OOS"
