"source_id","protocol_name","steward_or_origin","verified_version_or_status","primary_role","ad_or_commerce_relevance","boundary_note"
"C8-P1","MCP (Model Context Protocol)","Model Context Protocol project","Official GitHub spec/schema/docs; official specification uses JSON-RPC plus stdio/Streamable HTTP transports","Tool/context access protocol","Low direct advertising relevance; substrate for agents to call advertising or commerce tools","Do not treat as a commerce/ad schema"
"C8-P2","A2A (Agent2Agent Protocol)","Google origin; donated to the Linux Foundation","Official docs describe communication/interoperability for independent AI agent systems","Agent-to-agent communication and interoperability","Possible substrate for buyer/seller/merchant-agent communication","No ad semantics"
"C8-P3","AP2 (Agent Payments Protocol)","Google origin; FIDO Alliance transfer officialized","Google Cloud AP2 announcement/blog dated 2025-09-17; GitHub latest v0.2.0 on 2026-04-28; FIDO donation officially announced","Agent-led payment authorization, authenticity, and accountability","Agent-commerce payment-authority proof","Not a creative/product/ad-disclosure schema"
"C8-P4","x402","Coinbase / x402 ecosystem","Coinbase docs + x402.org verified","HTTP 402-based stablecoin machine/API payments","API/content/tool-access payment rail","Not an ad creative, offer, or disclosure schema"
"C8-P5a","ACP (Agent Communication Protocol)","BeeAI / i-am-bee; now part of A2A under the Linux Foundation","GitHub README confirms ACP is now part of A2A under the Linux Foundation; IBM explainer confirms REST, async, and offline-discovery features","Agent communication protocol","Low direct advertising relevance","Do not confuse with Agentic Commerce Protocol"
"C8-P5b","ACP (Agentic Commerce Protocol)","Stripe, OpenAI, Meta according to Stripe docs; launch page originally Stripe + OpenAI","Stripe docs describe checkout, cart feed, delegated payment, delegated auth, and orders/webhooks; Stripe launch describes Shared Payment Token","Agent-to-business checkout and delegated payment","Strong commerce-checkout relevance","Not display-ad creative evidence or claim grounding"
"C8-P6","UCP (Universal Commerce Protocol)","Google + industry partners","Official ucp.dev and Google announcement/developer posts describe an open standard for the shopping journey and compatibility with A2A/AP2/MCP","Discovery, buying, and post-purchase commerce building blocks","Strong product/cart/checkout journey relevance","Ad exposure, disclosure, and creative evidence remain separate gaps"
"C8-P7","CoMP (Content Monetization Protocols)","IAB Tech Lab","Last updated 2026-04-28; v1 finalized 2026-04-28","Licensed AI System to Content Owner APIs, request types, and content packaging","Adjacent to content monetization and AI access","Not an ad creative schema"
"C8-P8","AAMP (Agentic Advertising Management Protocols)","IAB Tech Lab","Last updated 2026-04-23; three pillars plus open-source roadmap/reference schemas","Agentic advertising bridge initiative","C7-C8 bridge; connects buyer/seller agents with AdCOM, OpenRTB, OpenDirect, and Deals API","Not a final AARS-equivalent standard"
"C8-H1","Schema.org, GS1","Deferred","Not officially verified in the S260514a source-registry session","Product identity/feed adjacent","Potential product identity/feed relevance","Not included in the Section 9 core table; future expansion requires separate verification"
