"registry_id","corpus_role","cluster_or_section","title","author_or_first_author","year","venue_or_status","source_file","source_line_or_marker","note"
"1","core","C2_creative_generation","BannerBench - banner selection benchmark","H. Otake (NAIST/CyberAgent)","2025","EMNLP 2025 Findings","S-C2_C2_creative_generation.md","12","Derived from S2 core coding table"
"2","core","C1_ad_understanding","Gitu2026 - food and alcohol ad classification","P.-A. Gitu (Maastricht)","2026","Scientific Reports","S-C1_C1_ad_understanding.md","12","Derived from S2 core coding table"
"3","core","C2_creative_generation","A3 - advertising aesthetic assessment","K. Ji (Shanghai AI Lab/SJTU)","2026","CVPR 2026","S-C2_C2_creative_generation.md","13","Derived from S2 core coding table"
"4","core","C1_ad_understanding","TRADE - reevaluating contrastive VLM ad understanding","A. Bavaresco (Amsterdam)","2024","ACL 2024 Short","S-C1_C1_ad_understanding.md","13","Derived from S2 core coding table"
"5","core","C2_creative_generation","ADVISOR - brand-specific ad ranking","K. Kim (KAIST/Madup)","2026","ACL 2026 Industry Track Oral; preliminary DATA-FM 2026","S-C2_C2_creative_generation.md","14","Derived from S2 core coding table"
"6","core","C1_ad_understanding","KAFA - knowledge-based feature adaptation for ad understanding","Z. Jia (UCSD/Google)","2023","ACL 2023 Industry","S-C1_C1_ad_understanding.md","14","Derived from S2 core coding table"
"7","core","C2_creative_generation","CAP - evaluation of persuasive/creative image generation","A. Aghazadeh (U. Pittsburgh)","2025","ICCV 2025","S-C2_C2_creative_generation.md","15","Derived from S2 core coding table"
"8","background","Sec. 6.2 C2 Creative Generation","What Makes a Good Generated Image?","Parthasarathy 2026","2026","background-cited","S3_background_role_mapping_english.csv","","Supports generated-image quality evaluation in the C2 creative-generation/evaluation context."
"9","out_of_scope","OOS","CHIRP — Fine-Grained Benchmark for VLMs","","","arXiv 2025","S4_out_of_scope_exclusions.csv","[ ]","OOS"
"10","background","Sec. 10.1 Evaluation","Calibrating MLLM-as-a-judge via Multimodal Bayesian Prompt Ensembles","Slyman 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports discussion of calibration when VLMs are used as evaluators."
"11","background","Sec. 10.1 Evaluation","Evaluating agreement between human preferences, GPT-4V and Gemini Pro Vision","Krupic 2025","2025","background-cited","S3_background_role_mapping_english.csv","","Supports evaluation-validity discussion through human-VLM agreement evidence."
